company_name,website_domain,company_linkedin_url,news_announcements,event_headline,event_url,event_date,event_type,source_publisher,relevance_confidence,coverage_depth_events_per_account_last_12mo
PT Astra International Tbk,astra.co.id,,Press Release - PT Astra International Tbk - PT Astra International Tbk,Press Release - PT Astra International Tbk - PT Astra International Tbk,https://news.google.com/rss/articles/CBMizgFBVV95cUxPT0NPZHEyTHlDdU4xQzR5clZNOTVvOElTMHNPX2xIcldtZUI1SXhTUl9kY2ZrTWtFc29za0YydXdoZGk3dXhCSjRSV0dFMG9aX0QtOVRId1FhQXh3WVRmblJRanJ2S0Y3czFFdHpJcTZpYVdKRzVMR3h6czZaQTRpV3B1UzM5ZEdtWmx0MzVaVUtSbFp1MDJManIzUVkySERpOTJ6SnBGT1ZaTG5EamlZT1B3WTE5bVRpeDRCbi0tTWVUaXYtNjVQakdKVG0yUQ?oc=5,2026-02-26,launch,Google News RSS,High,12
PT Astra International Tbk,astra.co.id,,Astra Women Community: Strong Roles in the Workplace - PT Astra International Tbk,Astra Women Community: Strong Roles in the Workplace - PT Astra International Tbk,https://news.google.com/rss/articles/CBMibkFVX3lxTE1vZWdmNVUwanVnU1BGZE1EOWpzYmhOeVFhQUZqSDZ6eTVZdGRUOENlTDZ6WHc3UkhXWTVlcDE3RGtRZ0JxU3J0OXhTdExmcDQ4aEdIRFJSUVVhRkQ1c1VsRkpqS3hKaDJ6UjlYS3Bn?oc=5,2025-07-17,other,Google News RSS,High,12
PT Astra International Tbk,astra.co.id,,Astra Financial Report for the Third Quarter of 2025 - PT Astra International Tbk,Astra Financial Report for the Third Quarter of 2025 - PT Astra International Tbk,https://news.google.com/rss/articles/CBMimAFBVV95cUxPS3FyOEk1eGRUSC1oRjFYeGNYTWtNRGFuQTZKRnZ3dzd2ODd4bWl0ZHdOQ2JaMkp6dmlOcE9iNGlLa2NxTUFJLVZ5RFBPbU11MFdOUUdydi1TUFBuU1A4eTRSUVZuamZSbkpVdU9rZWctakgwYzk0ZDFZVVAyWkd4bDlwVDV2N1lnZUlWa0VhUldnOHBYbGtSZw?oc=5,2025-10-31,other,Google News RSS,High,12
PT Astra International Tbk,astra.co.id,,Equinix and Astra Form a Joint Venture to Support Indonesia’s Growing Digital Needs - PT Astra International Tbk,Equinix and Astra Form a Joint Venture to Support Indonesia’s Growing Digital Needs - PT Astra International Tbk,https://news.google.com/rss/articles/CBMi4gFBVV95cUxPSnllQzlRcFd2OGlKME5YU2oyeEpyN2p0c05vZnhKcllkZmp1R0tNYkQ1VDluOTRMWWdMMGZWcDN4VkcyX2Fkc1VabS1WOHZock0zeFVWd2liTFBUcHNiZFphQ0tpQS1UWTdUTUNyU25PdV9nRmh0RTlYRmpsdTJtN0t6d3JjNGJ0cTdtbkVIc0RfMTJPUFlfcnhQZ2duUm9XVDl3LW9DZlNFUnFmbHVpelBsZVgyNnBzUEEzTEVWRzZTc3YyOC11Zkpua2cwTmptQktzZkotWjhIZlRSVlo2YXlR?oc=5,2023-04-10,M&A,Google News RSS,High,12
PT Astra International Tbk,astra.co.id,,Press Release - PT Astra International Tbk - PT Astra International Tbk,Press Release - PT Astra International Tbk - PT Astra International Tbk,https://news.google.com/rss/articles/CBMid0FVX3lxTFBHd0Job0lUVmRsVEFLczZpV0RFLUVza0pRMWYyUk5qYkFjU0F5YnNTUXItNjVxdy16UzU2aXVzUWNKdHhGam1vNDU3UVdKbldYeVl2UTlfbUlQcXJiSHdBUVByNGhCejg5QXEyb2J1b0xkMlhFbl9Z?oc=5,2024-02-27,launch,Google News RSS,High,12
PT Astra International Tbk,astra.co.id,,Press Release - PT Astra International Tbk - PT Astra International Tbk,Press Release - PT Astra International Tbk - PT Astra International Tbk,https://news.google.com/rss/articles/CBMikAFBVV95cUxOUTZ5OHFBMlRuemx4VEdKQ3V3M1ZnOTJqMjlMdi1zM3JrQWV3bTBGZC1JQ1pmZGIzdEFXYS0zeE1YNzZJWFlhcVRxTk9nb2JQU2FCNm9iaWpLcE5vNkY3WjA2b1NkNDRxU1pyekJ1UldfM05iYnRKeU5aQjEyVHVvX05QdUZrcHdVSktsYTN2TzM?oc=5,2021-04-20,launch,Google News RSS,High,12
PT Astra International Tbk,astra.co.id,,Press Release - PT Astra International Tbk,Press Release - PT Astra International Tbk,https://news.google.com/rss/articles/CBMiggFBVV95cUxOcHpkNG4ta3pjN3djMk1sMlBmcUl0eWxIVS1HZmNxa2k5TS1LTmZnVDR2R2ZCMnFlS05EZEV0RUd4ZEJlRjBGTGt1dFRVNTlKTVRJZlVpaVI1bHFPUWJmckd5Nkp6ekhzczI5UkRHdFIxaGxHUDFhWjBKOVpWTmlIWENn?oc=5,2022-02-24,launch,Google News RSS,High,12
PT Astra International Tbk,astra.co.id,,"ASII sets IDR 36 trillion capex for 2026, up 10% year on year - IDNFinancials","ASII sets IDR 36 trillion capex for 2026, up 10% year on year - IDNFinancials",https://news.google.com/rss/articles/CBMiogFBVV95cUxOLWgxU3FLeU53RGxGVEJFTWFid09tOUdnRVk5Uzdwam9UTWQzdDl2RUhvYTRMVkNVYW9tUE5vNmVNT1ozdGdCWWlsMzBZeG8yZjV2Ql8zbjJleWZzb3dlS0VHMERIZWNMbnZTYTl5d3RkMGx0bG9uNlV2YVJQQmdfdHRnamR3eTFLbWlYN00wbFlnQ3JIdzhrUHZfZXd4QjR4cXc?oc=5,2026-04-23,other,Google News RSS,Low,12
PT Astra International Tbk,astra.co.id,,"Astra declares IDR 15.7 trillion dividend, appoints Rudy as CEO - IDNFinancials","Astra declares IDR 15.7 trillion dividend, appoints Rudy as CEO - IDNFinancials",https://news.google.com/rss/articles/CBMipgFBVV95cUxNX1Fub0R0aFdiVnRsaTJtLXJ4TGw3ay1vR1hRQmU3Q282VnFFRVg1Qnl0VndkSGUzaFJTcXVJcE84bFpJLXNWb2ZTZTYzWmR1VDEyWmh2NWxmZ09Bal9LQS1vV041WnBqZTZud0xvZ1hnNnZPaTNmMmVsdmJockpfeFBsbjg3WUNkZnl1dnZ0SHZRbGNsX0QtZ0FIZENoMEpmNDNnRDR3?oc=5,2026-04-23,leadership,Google News RSS,Medium,12
PT Astra International Tbk,astra.co.id,,Astra International's Strategy to Compete with Chinese Electric Vehicles - Tempo.co English,Astra International's Strategy to Compete with Chinese Electric Vehicles - Tempo.co English,https://news.google.com/rss/articles/CBMipwFBVV95cUxNNXZqeU1CMWdlYmVWMTVMczZRbGFOenFyekt3b3R2dlVWenJBMmJwM0UxR0NSbzJMbm9iWlhEYTFCQkJmWmxzbmpUM191RHNGTkxqZW1KSFo3WFRiV1ZJcDdPdC1KUG1VdGRSclF4YVNVTmNSVmZYY2FXWjB0RThEUi1ER2tGOUN0WTB5MTdaX09FV18tQ3lPZ0RsNXhuNVJTVjJHSnlmaw?oc=5,2026-04-23,other,Google News RSS,Low,12
