_related_company_domain,categories,company_domain,contract_types,description,first_seen_at,id,language,last_processed_at,last_seen_at,location,location_data,normalized_title,onet_data,posted_at,recruiter_data,salary,salary_data,seniority,status,tags,title,translated_title,url
astra.co.id,"[""information_technology"", ""management""]",astra.co.id,"[""full_time""]","### Engineering Manager - ADMO

Information Technology

Profesional

Batas Lamar : 31 Desember 2026

Lowongan / Detail pekerjaan

### Engineering Manager - ADMO

PT Astra Digital Mobil

Information Technology

Profesional

Batas Lamar: 31 Desember 2026

### Deskripsi Pekerjaan

* Kepemimpinan dan Manajemen Tim: (1) Memberikan kepemimpinan, arahan, dan bimbingan kepada tim teknik; (2) Mengelola dan membimbing para insinyur, mendorong pertumbuhan karier dan pengembangan keterampilan; (3) Menumbuhkan budaya tim yang positif dan kolaboratif; (4) Melakukan pertemuan tatap muka, tinjauan kinerja, dan sesi penetapan tujuan dengan anggota tim secara berkala; (5) Menangani tugas administratif terkait tim seperti penjadwalan, alokasi sumber daya, dan penempatan staf.
* Manajemen Proyek dan Produk: (1) Berkolaborasi dengan manajer produk, desainer, dan pemangku kepentingan untuk menentukan cakupan, persyaratan, dan jadwal; (2) Merencanakan dan memprioritaskan proyek dan tugas teknik; (3) Memastikan penyelesaian proyek teknik yang tepat waktu dan berkualitas tinggi; (4) Memantau kemajuan proyek, mengidentifikasi dan menangani masalah atau risiko apa pun.
* Panduan Teknis dan Pengambilan Keputusan: (1) Memberikan keahlian dan panduan teknis kepada tim teknik; (2) Membuat keputusan teknis dan kompromi untuk memastikan keberhasilan proyek; (3) Tetap mengikuti perkembangan tren industri, praktik terbaik, dan teknologi yang sedang berkembang.
* Komunikasi dan Kolaborasi: (1) Memfasilitasi komunikasi dan kolaborasi dalam tim teknik dan lintas departemen lainnya; (2) Bertindak sebagai penghubung antara departemen teknik dan departemen lain, menyampaikan status proyek, tonggak sejarah, dan tantangan.
* Peningkatan Proses dan Operasi: (1) Terus meningkatkan proses teknik dan alur kerja untuk meningkatkan efisiensi dan produktivitas.; (2) Terapkan dan tegakkan praktik terbaik untuk pengembangan perangkat lunak, termasuk standar pengodean, tinjauan kode, dan praktik pengujian; (3) Identifikasi dan terapkan alat dan teknologi untuk merampingkan pengembangan dan operasi.
* Kolaborasi Lintas Fungsi: (1) Bekerja sama erat dengan departemen lain seperti manajemen produk, desain, dan devops untuk memastikan keselarasan dan koordinasi; (2) Berpartisipasi dalam inisiatif dan proyek lintas fungsi sesuai kebutuhan; (3) Mewakili tim teknik dalam rapat dan diskusi dengan departemen lain
* Manajemen Kinerja dan Akuntabilitas: (1) Tetapkan tujuan dan harapan kinerja yang jelas untuk tim teknik; (2) Minta pertanggungjawaban anggota tim atas kinerja dan perilaku mereka; (3) Tangani masalah dan konflik kinerja secara tepat waktu dan konstruktif; (4) Kenali dan berikan penghargaan kepada anggota tim atas kontribusi dan pencapaian mereka.
* Perencanaan dan Visi Strategis: (1) Berkontribusi pada pengembangan tujuan dan visi strategis tim teknik; (2) Menyelaraskan tujuan tim teknik dengan prioritas strategis perusahaan secara keseluruhan; (3) Memberikan masukan dan umpan balik tentang OKR/peta jalan produk dan teknologi.

### Persyaratan

* 9+ tahun pengalaman sebagai Software Engineer atau pemimpin yang memecahkan masalah pelanggan
* 3+ tahun pengalaman sebagai Manajer SDM yang telah memimpin dan mengembangkan tim teknik berkinerja tinggi.
* Gelar Sarjana, lebih disukai dalam Ilmu Komputer
* Pemahaman yang kuat tentang pemrograman berorientasi objek, konkurensi, dan dasar-dasar ilmu komputer.
* Keterampilan pemecahan masalah, struktur data, dan algoritma yang kuat.
* Anda suka membangun layanan yang tangguh, terukur, dan berkinerja.
* Anda bangga dengan pencapaian Anda, tetapi juga bertujuan untuk menjadi lebih baik setiap hari secara terus-menerus.
* Keterampilan teknis dan pemikiran kritis yang kuat, dan kemampuan untuk mengomunikasikan visi Anda pada tingkat tinggi kepada audiens teknis dan manajemen puncak
* Berpartisipasi dan berkontribusi dalam diskusi/keputusan arsitektur.
* Memiliki pengalaman dalam:
  + Java, XML, J SON, Junit, Scala / Kotlin, Algoritma, dll.
  + REST, Graph QL, Layanan Mikro
  + Apache Tomcat, Spring MVC, Spring Boot, Docker
  + AWS: EC2, S3, RDS. Kubernetes, Redis
  + Alat Pemantauan dan Pemberitahuan seperti New Relic dan PagerDuty.
* Bekerja dalam lingkungan yang serba cepat, datar, gesit, dan terdistribusi adalah pilihan Anda untuk terus mengembangkan karier Anda
",2026-08-27T19:05:13Z,06f3ce7b-0d67-4460-b524-949e67ac967e,en,2026-08-29T19:38:40Z,2026-08-27T19:32:02Z,,[],Engineering Manager,"{""code"": ""11-9041.00"", ""family"": ""Management"", ""occupation_name"": ""Architectural and Engineering Managers""}",,"{""name"": null, ""title"": null, ""contact"": null}",,"{""salary_low"": null, ""salary_high"": null, ""salary_currency"": null, ""salary_low_usd"": null, ""salary_high_usd"": null, ""salary_time_unit"": null}",manager,,[],Engineering Manager - ADMO,,https://career.astra.co.id/lowongan/lowongan-detail-page/14787/Engineering%20Manager%20-%20ADMO
astra.co.id,"[""information_technology""]",astra.co.id,"[""full_time""]","### Data Engineer - GSI

Information Technology

Lulusan Baru & Profesional

Batas Lamar : 31 Desember 2026

Lowongan / Detail pekerjaan

### Data Engineer - GSI

PT Global Service Indonesia

Information Technology

Lulusan Baru & Profesional

Batas Lamar: 31 Desember 2026

### Deskripsi Pekerjaan

* Mentransformasi data dari berbagai sumber menjadi data yang siap dipakai oleh Data Scientist untuk dijalankan dalam modeling.
* Mengembangkan custom application jika dibutuhkan untuk menunjang inisiatif data analytics
* Mengembangkan API untuk membantu proses integrasi data antar sistem yang berbeda

### Persyaratan

* Minimal pendidikan D3/S1 Ilmu Komputer, Teknologi Informasi, Manajemen Informatika atau program studi yang berkaitan.
* Memahami bahasa pemograman seperti C, Java, C#, Phyton, R.
* Mampu menggunakan alat ETL serta SSAS, Datastage, Spark, MapReduce-
* Memiliki kemampuan interpersonal, analisis dan komunikasi yang baik

### Tentang Perusahaan

#### PT Global Service Indonesia

PT Global Service Indonesia (GSI) was established in December 24, 2014 under Yayasan Karya Bakti United Tractors (Member of ASTRA) which provide Manpower Solution, Digital Solution and Process Solution.

#### Alamat Kantor

Jalan Raya Bekasi KM 22 Cakung Jakarta Timur DKI Jakarta 13910

#### Industri

AHEMCE

#### Website

https://globalservice.co.id

Lihat Detail Perusahaan",2026-08-26T18:56:31Z,831e5a27-4af4-4524-8ac0-8ea6b6103f33,id,2026-08-29T20:13:32Z,2026-08-27T19:12:03Z,"Jakarta, Indonesia, South-eastern Asia, Asia","[{""city"": ""Jakarta"", ""state"": null, ""zip_code"": null, ""country"": ""Indonesia"", ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""fuzzy_match"": false}]",Data Engineer - GSI,"{""code"": ""15-1243.00"", ""family"": ""Computer and Mathematical"", ""occupation_name"": ""Database Architects""}",,"{""name"": null, ""title"": null, ""contact"": null}",,"{""salary_low"": null, ""salary_high"": null, ""salary_currency"": null, ""salary_low_usd"": null, ""salary_high_usd"": null, ""salary_time_unit"": null}",mid_senior,closed,[],Data Engineer - GSI,Data Engineer - GSI,https://career.astra.co.id/lowongan/lowongan-detail-page/14778/Data%20Engineer%20-%20GSI
astra.co.id,"[""human_resources""]",astra.co.id,"[""internship""]","### Human Capital Internship Job Fair Unpad - AOP

Human Capital

Lulusan Baru

Batas Lamar : 27 Agustus 2026

Lowongan / Detail pekerjaan

### Human Capital Internship Job Fair Unpad - AOP

Astra Otoparts

Human Capital

Lulusan Baru

Batas Lamar: 27 Agustus 2026

### Deskripsi Pekerjaan

**Human Capital Development Intern**

1. Mendukung proyek Organizational Development (OD), termasuk position naming, Job Evaluation (JE), Talent Classification (TC), dan Talent Competency Assessment (TCA).
2. Mendukung proyek People Development (PD), termasuk Individual Development Plans (IDP) dan inisiatif terkait.
3. Mendukung proses *end-to-end recruitment*.

**Human Resources Intern**

1. Mendukung aktivitas operasional Human Resources.
2. Memelihara, memvalidasi, dan mengorganisasi *database* HR.
3. Menyiapkan laporan, dashboard, dan analisis data untuk mengidentifikasi tren dan insight.
4. Mengembangkan materi presentasi, infografis, dan konten visual untuk inisiatif Human Capital.

### Persyaratan

**Human Capital Development Intern**

1. Mahasiswa semester 5 atau 7 jurusan Psikologi.
2. Memiliki ketertarikan yang kuat pada Psikologi Industri dan Organisasi.

**Human Resources Intern**

1. Mahasiswa semester 5 atau 7  jurusan Statistika, Sistem Informasi, Psikologi, dan Manajemen.
2. Teliti, analitis, dan terorganisir.
3. Bersedia belajar dan mampu bekerja secara kolaboratif.
4. Memiliki kemampuan komunikasi tertulis dan verbal yang baik.
5. Pengalaman menggunakan *tools data visualization* dan *graphic design* seperti Power BI, Google Looker Studio, Canva, Figma, atau aplikasi sejenis menjadi nilai tambah.

### Tentang Perusahaan

#### Astra Otoparts

Astra Otoparts is Indonesia's Largest group of automotive parts manufacturing and distributing companies which provides wide range of spare parts for two wheel and four wheels.

#### Alamat Kantor

Jl Raya Pegangsaan Dua Km 2 2 Kelapa Gading Jakarta

#### Industri

Otomotif

#### Website

-

Lihat Detail Perusahaan",2026-08-26T18:56:31Z,b0e788bd-6440-48ba-86a3-75ac11b49335,id,2026-08-29T20:12:30Z,2026-08-27T19:12:03Z,"Jakarta, Indonesia, South-eastern Asia, Asia","[{""city"": ""Jakarta"", ""state"": null, ""zip_code"": null, ""country"": ""Indonesia"", ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""fuzzy_match"": false}]",Human Capital Intern,"{""code"": ""13-1071.00"", ""family"": ""Business and Financial Operations"", ""occupation_name"": ""Human Resources Specialists""}",,"{""name"": null, ""title"": null, ""contact"": null}",,"{""salary_low"": null, ""salary_high"": null, ""salary_currency"": null, ""salary_low_usd"": null, ""salary_high_usd"": null, ""salary_time_unit"": null}",junior,closed,"[""Internship"", ""Internship"", ""HRIS"", ""Google"", ""Canva"", ""Power BI"", ""Figma"", ""Looker"", ""Google Data Studio""]",Human Capital Internship Job Fair Unpad - AOP,Human Capital Intern,https://career.astra.co.id/lowongan/lowongan-detail-page/14773/Human%20Capital%20Internship%20Job%20Fair%20Unpad%20-%20AOP
astra.co.id,"[""sales""]",astra.co.id,"[""full_time"", ""onsite""]","### Growth & Partnership Analyst - ADMO

PT Astra Digital Mobil

Strategic Planning

Profesional

Batas Lamar: 30 November 2026

### Deskripsi Pekerjaan

* Mengidentifikasi peluang pertumbuhan baru, merancang dan mengeksekusi peluang baru tersebut.
* Mengembangkan model bisnis baru berbasis partnership.
* Membangun dan mengelola hubungan strategis dengan partner (Astra Group dan Non Astra).
* Membuat proposal, MoU, atau agreement yang mendukung kolaborasi jangka panjang.
* Mengelola dan memantau efektivitas partnership serta memberikan laporan hasil kepada manajemen.
* Bekerja lintas fungsi dengan internal stakeholder.
* Menyusun laporan rutin terkait inisiatif growth dan partnership.

### Persyaratan

* Memiliki pengalaman 1-2 tahun di bidang partnership/kemitraan.
* Memiliki kemampuan komunikasi yang baik serta mampu membangun dan menjaga hubungan dengan partner.
* Terampil dalam membuat laporan dan mengolah data, dengan perhatian tinggi pada detail.
* Bersedia bekerja secara mobile dan melakukan pertemuan dengan partner di seluruh Indonesia.
* Latar belakang di Perbankan atau Leasing, dengan pengalaman sebagai Partnership atau Account Manager.
* Memiliki kemauan untuk belajar dan beradaptasi dalam lingkungan yang dinamis.Bersedia bekerja di Sunter, Jakarta Utara.",2026-08-26T18:56:31Z,7ac2e18f-6964-499b-81c7-6652e436e9e8,id,2026-08-29T20:12:13Z,2026-08-27T19:12:03Z,"Jakarta, Indonesia, South-eastern Asia, Asia","[{""city"": ""Jakarta"", ""state"": null, ""zip_code"": null, ""country"": ""Indonesia"", ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""fuzzy_match"": false}]",Growth & Partnership Analyst,"{""code"": ""13-1161.00"", ""family"": ""Business and Financial Operations"", ""occupation_name"": ""Market Research Analysts and Marketing Specialists""}",,"{""name"": null, ""title"": null, ""contact"": null}",,"{""salary_low"": null, ""salary_high"": null, ""salary_currency"": null, ""salary_low_usd"": null, ""salary_high_usd"": null, ""salary_time_unit"": null}",mid_senior,closed,[],Growth & Partnership Analyst - ADMO,Growth & Partnership Analyst,https://career.astra.co.id/lowongan/lowongan-detail-page/14782/Growth%20&%20Partnership%20Analyst%20-%20ADMO
astra.co.id,"[""engineering"", ""software_development""]",astra.co.id,"[""contract""]"," **Deskripsi Pekerjaan**  
  
Employment Status: Contract-based  
  

- Mengembangkan dan memelihara server dan backend menggunakan Java untuk mendukung fungsi dan fitur dalam platform penjualan mobil bekas. 
- Merancang dan mengimplementasikan API (Application Programming Interface) yang efisien untuk memastikan komunikasi yang lancar antara frontend dan backend, serta dengan pihak-pihak eksternal seperti sistem pembayaran dan penyedia layanan lainnya. 
- Menjalankan pengujian dan debugging secara rutin untuk memastikan keamanan, stabilitas, dan skalabilitas dari aplikasi server menggunakan Node.js. 
- Mengoptimalkan kinerja aplikasi dan server, serta melakukan pemantauan untuk mengidentifikasi dan mengatasi masalah performa guna memberikan pengalaman yang lebih baik kepada pengguna  
  
**Persyaratan**  
  

- Gelar Sarjana dari jurusan Teknik Informatika/Sistem Informasi/Teknik Komputer/Manajemen Informatika atau bidang terkait dari universitas terkemuka dengan IPK minimal 3,00. 
- Minimal 2 tahun pengalaman kerja secara keseluruhan dan pengetahuan mengenai pengembangan backend dan programming (Java).
- Lebih disukai jika memiliki kompetensi dalam Bahasa Pemrograman lain (Node.JS / PHP / Golang / etc).
- Memiliki kompetensi dalam JavaSpring / Springboot, PostgreSQL / mySQL database, Object-Oriented Programming, SDLC Scrum, Unit Testing / Design Pattern / Code Convention, Message Broker (Kafka / RabbitMQ), AWS Cloud, API Contract, Docker / Kubernetes, CI/CD.
- Kemampuan code review.
- Kemampuan problem-solving, interpersonal, dan analisis yang kuat. 
- Bersedia bekerja di kantor (lokasi: Jakarta)
",2026-08-26T04:00:00Z,d94ce8f3-60f2-44e6-98a7-68cf99b93f9a,id,2026-08-29T04:00:00Z,2026-08-29T04:00:00Z,"Jakarta, Jakarta, Indonesia",[],Backend Developer ADMO,"{""code"": ""15-1252.00"", ""family"": ""Computer and Mathematical"", ""occupation_name"": ""Software Developers""}",2026-08-09T23:27:21Z,"{""name"": null, ""title"": null, ""contact"": null}",,"{""salary_low"": null, ""salary_high"": null, ""salary_currency"": null, ""salary_low_usd"": null, ""salary_high_usd"": null, ""salary_time_unit"": null}",mid_senior,,"[""MySQL"", ""Node.js"", ""PHP"", ""PostgreSQL"", ""Scrum"", ""Go"", ""Apache Kafka"", ""Kubernetes"", ""Amazon Web Services"", ""Docker"", ""RabbitMQ"", ""Spring Boot"", ""Continuous Delivery"", ""AWS Cloud""]",Backend Developer - Java - ADMO,Backend Developer - Java - ADMO,https://www.linkedin.com/jobs/view/4449033051/
astra.co.id,"[""finance""]",astra.co.id,"[""full_time""]","### TSO - Finance Coordinator - Unpad Career Fair

Astra International - Toyota Sales Operation

Accounting and Tax

Lulusan Baru & Profesional

Batas Lamar: 27 Agustus 2026

### Deskripsi Pekerjaan

- Mengelola dan memonitor aktivitas serta transaksi keuangan.

- Menyiapkan laporan dan analisis keuangan.

- Memonitor budget dan realisasi biaya.

- Berkoordinasi dengan berbagai pihak terkait kebutuhan dan proses keuangan.

- Memastikan proses keuangan sesuai dengan kebijakan perusahaan.

### Persyaratan

- Minimal S1 Akuntansi, Keuangan, atau bidang terkait.

- Memiliki pengalaman di bidang Finance/Accounting.

- Memiliki kemampuan analisis dan ketelitian yang baik.

- Menguasai Microsoft Excel.

- Memiliki kemampuan komunikasi dan koordinasi yang baik.

- Bersedia ditempatkan di seluruh wilayah operasional perusahaan.
",2026-08-25T18:49:47Z,21044803-c7c0-4a08-a4db-14e18163e101,en,2026-08-28T20:47:32Z,2026-08-28T20:47:32Z,"Lamar, Colorado, United States, Northern America, Americas","[{""city"": ""Lamar"", ""state"": ""Colorado"", ""zip_code"": null, ""country"": ""United States"", ""region"": ""Northern America"", ""continent"": ""Americas"", ""fuzzy_match"": false}]",Finance Coordinator,"{""code"": ""11-3031.01"", ""family"": ""Management"", ""occupation_name"": ""Treasurers and Controllers""}",,"{""name"": null, ""title"": null, ""contact"": null}",,"{""salary_low"": null, ""salary_high"": null, ""salary_currency"": null, ""salary_low_usd"": null, ""salary_high_usd"": null, ""salary_time_unit"": null}",mid_senior,,[],TSO - Finance Coordinator - Unpad Career Fair,,https://career.astra.co.id/lowongan/lowongan-detail-page/14777/TSO%20-%20Finance%20Coordinator%20-%20Unpad%20Career%20Fair
astra.co.id,"[""finance""]",astra.co.id,"[""full_time""]","### TSO - Finance Operation Analyst - Unpad Career Fair

Astra International - Toyota Sales Operation

Accounting and Tax

Lulusan Baru & Profesional

Batas Lamar: 27 Agustus 2026

### Deskripsi Pekerjaan

- Mengelola dan memonitor aktivitas operasional keuangan.

- Menyiapkan laporan dan data keuangan.

- Melakukan pengecekan dan rekonsiliasi transaksi.

- Berkoordinasi dengan tim terkait dalam proses operasional keuangan.

- Memastikan proses berjalan sesuai dengan kebijakan perusahaan.

### Persyaratan

- Minimal S1 Akuntansi, Keuangan, atau bidang terkait.

- Memiliki pengalaman di bidang Finance/Accounting.

- Memiliki kemampuan analisis dan ketelitian yang baik.

- Menguasai Microsoft Excel.

- Memiliki kemampuan komunikasi dan koordinasi yang baik.",2026-08-25T18:49:47Z,824d53c2-f0b0-412c-bf23-c4df959acbab,en,2026-08-28T20:47:50Z,2026-08-28T20:47:50Z,"Lamar, Colorado, United States, Northern America, Americas","[{""city"": ""Lamar"", ""state"": ""Colorado"", ""zip_code"": null, ""country"": ""United States"", ""region"": ""Northern America"", ""continent"": ""Americas"", ""fuzzy_match"": false}]",Finance Operation Analyst,"{""code"": ""13-2051.00"", ""family"": ""Business and Financial Operations"", ""occupation_name"": ""Financial and Investment Analysts""}",,"{""name"": null, ""title"": null, ""contact"": null}",,"{""salary_low"": null, ""salary_high"": null, ""salary_currency"": null, ""salary_low_usd"": null, ""salary_high_usd"": null, ""salary_time_unit"": null}",mid_senior,,[],TSO - Finance Operation Analyst - Unpad Career Fair,,https://career.astra.co.id/lowongan/lowongan-detail-page/14779/%20TSO%20-%20Finance%20Operation%20Analyst%20-%20Unpad%20Career%20Fair
astra.co.id,"[""healthcare_services""]",astra.co.id,"[""onsite""]"," **Deskripsi Pekerjaan**  
  

- Membantu dokumentasi dokumen-dokumen HSE
- Membantu membuat laporan HSE
- Membantu menyiapkan materi safety campaign
- Ikut safety patrol / inspeksi area kerja
- Membantu mencatat temuan bahaya di lapangan
- Membantu laporan kinerja lingkungan kerja & K3 perusahaan
- Support data sustainability index
- Memberi ide improvement terkait safety & K3
- Update materi training Safety, 5S & Lingkungan
- Berkolaborasi dengan tim lintas fungsi untuk mengidentifikasi dan mengimplementasikan peluang perbaikan  
  
**Persyaratan**  
  

- Mahasiswa Sarjana aktif (minimal semester 7) atau lulusan baru dari jurusan Teknik Lingkungan, Kesehatan dan Keselamatan Kerja (K3), atau Kesehatan Masyarakat
- Memiliki kemampuan analisis & dokumentasi yang baik
- Memahami prinsip-prinsip dasar HSE
- Mahir menggunakan Microsoft Excel, PowerPoint, Canva, dan alat visualisasi data
- Teliti, proaktif, dan mampu bekerja sama dalam tim
- Memiliki kemampuan komunikasi yang baik, integritas tinggi, dan disiplin
- Bersedia bekerja di lapangan
- Bersedia ditempatkan onsite (wilayah Sunter, Jakarta Utara)
- Bersedia menjalani masa magang selama 6 bulan
",2026-08-25T04:00:00Z,78c438cd-aba3-43db-974c-ae316e493108,id,2026-08-30T04:00:00Z,2026-08-30T04:00:00Z,"Jakarta, Jakarta, Indonesia",[],HSE Intern - General Manager,"{""code"": ""17-2111.00"", ""family"": ""Architecture and Engineering"", ""occupation_name"": ""Health and Safety Engineers, Except Mining Safety Engineers and Inspectors""}",2026-08-14T22:26:48Z,"{""name"": null, ""title"": null, ""contact"": null}",,"{""salary_low"": null, ""salary_high"": null, ""salary_currency"": null, ""salary_low_usd"": null, ""salary_high_usd"": null, ""salary_time_unit"": null}",junior,,"[""Microsoft"", ""Microsoft PowerPoint"", ""Marketing Campaigns"", ""Microsoft Excel"", ""Canva""]",Intern HSE - GM,HSE Intern - GM,https://www.linkedin.com/jobs/view/4451836708/
astra.co.id,"[""engineering"", ""operations""]",astra.co.id,"[""full_time""]","### Job Fair UNPAD 2026 - MT Workshop Supervisor - DSO

Astra International - Daihatsu Sales Operation

Development Program

Lulusan Baru

Batas Lamar: 30 September 2026

### Deskripsi Pekerjaan

* Bertanggung jawab untuk memimpin dan mengelola bengkel di cabang Astra Daihatsu.
* Bertanggung jawab untuk memastikan semua proses bengkel di cabang berjalan lancar sesuai SOP.
* Bertanggung jawab untuk memastikan cabang mencapai target unit entry.

### Persyaratan

* S1 Fakultas Teknik  (Teknik Mesin, Elektro, Teknik Industri, atau jurusan lainnya yang relevan).
* Fresh graduate atau maks. 2 tahun pengalaman kerja.
* Memiliki passion untuk bekerja di industri otomotif dan berambisi menjadi pemimpin.
* Bersedia ditempatkan di seluruh Indonesia.
* Memiliki keterampilan interpersonal, komunikasi, dan kepemimpinan yang baik.
* Memiliki naluri bisnis dan orientasi mencapai target.

Untuk informasi lebih lanjut dapat menghubungi alamat Email Rekrutmen Astra Daihatsu (recruitment.rod@dso.astra.co.id).",2026-08-22T18:38:32Z,8032b30f-6605-4a5d-a733-05dfc69ac562,en,2026-08-28T21:25:01Z,2026-08-28T21:25:01Z,"Jakarta, Indonesia, South-eastern Asia, Asia","[{""city"": ""Jakarta"", ""state"": null, ""zip_code"": null, ""country"": ""Indonesia"", ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""fuzzy_match"": false}]",Workshop Supervisor,"{""code"": ""47-1011.00"", ""family"": ""Construction and Extraction"", ""occupation_name"": ""First-Line Supervisors of Construction Trades and Extraction Workers""}",,"{""name"": null, ""title"": null, ""contact"": null}",,"{""salary_low"": null, ""salary_high"": null, ""salary_currency"": null, ""salary_low_usd"": null, ""salary_high_usd"": null, ""salary_time_unit"": null}",junior,,[],Job Fair UNPAD 2026 - MT Workshop Supervisor - DSO,,https://career.astra.co.id/lowongan/lowongan-detail-page/14763/Job%20Fair%20UNPAD%202026%20-%20MT%20Workshop%20Supervisor%20-%20DSO
astra.co.id,"[""marketing""]",astra.co.id,"[""full_time""]","### Corporate Communication Analyst - SMI

Communication

Lulusan Baru

Batas Lamar : 30 September 2026

Lowongan / Detail pekerjaan

### Corporate Communication Analyst - SMI

Astra Financial - Sedaya Multi Investama

Communication

Lulusan Baru

Batas Lamar: 30 September 2026

### Deskripsi Pekerjaan

* Mengembangkan dan melaksanakan program komunikasi perusahaan, acara perusahaan, dan sponsorship untuk mendukung peningkatan reputasi dan eksposur perusahaan.
* Mengkoordinasikan hubungan dan komunikasi dengan media, termasuk media tier-1, untuk mendukung eksposur perseroan.
* Memantau dan menganalisis laporan media,media sosial, dan isu-isu yang berkaitan dengan perusahaan dan industri serta memberikan rekomendasi untuk tindak lanjut komunikasi.
* Memantau, menganalisis, dan mengkoordinasikan penanganan komunikasi krisis serta memberikan rekomendasi tindak lanjut sesuai dengan protokol komunikasi perusahaan.
* Melakukan komunikasi internal perusahaan melalui penyusunan dan distribusi konten komunikasi kepada karyawan.
* Menyiapkan pelaporan komunikasi dan mendukung penerapan tata kelola komunikasi sesuai dengan pedoman komunikasi dan kerangka kerja ACMS.
* Membuat, memperbarui, dan mengelola pedoman komunikasi dan alat digital perusahaan (website & media sosial).

### Persyaratan

* Gelar Sarjana minimal dari Departemen Ilmu Komunikasi. Hubungan Masyarakat, dan bidang terkait lainnya.
* 1-3 tahun pengalaman dalam Komunikasi Perusahaan dan bidang terkait lainnya
* Pengertian Sistem Manajemen Komunikasi Astra (ACMS).
* Keterampilan hubungan media dan pemantauan media.
* Pengetahuan tentang crisis communication.

### Tentang Perusahaan

#### Astra Financial - Sedaya Multi Investama

Astra Financial is a brand of the financial services division of PT Astra International Tbk with the mission to be a Financial partner for Indonesian prosperity.To take part in Astra's pursuit of prospering the nation while establishing a bigger role in financial service, Astra Financial continuousl...

#### Alamat Kantor

#### Industri

Jasa Keuangan

#### Website

http://www.astrafinancial.co.id",2026-08-22T18:38:32Z,5dc4c65e-4e1f-4a4a-9c3d-612e7401f52d,en,2026-08-28T21:42:26Z,2026-08-28T21:42:26Z,"Lamar, Colorado, United States, Northern America, Americas","[{""city"": ""Lamar"", ""state"": ""Colorado"", ""zip_code"": null, ""country"": ""United States"", ""region"": ""Northern America"", ""continent"": ""Americas"", ""fuzzy_match"": false}]",Corporate Communication Analyst,"{""code"": ""27-3031.00"", ""family"": ""Arts, Design, Entertainment, Sports, and Media"", ""occupation_name"": ""Public Relations Specialists""}",,"{""name"": null, ""title"": null, ""contact"": null}",,"{""salary_low"": null, ""salary_high"": null, ""salary_currency"": null, ""salary_low_usd"": null, ""salary_high_usd"": null, ""salary_time_unit"": null}",junior,,[],Corporate Communication Analyst - SMI,,https://career.astra.co.id/lowongan/lowongan-detail-page/14771/Corporate%20Communication%20Analyst%20-%20SMI
