amount,amount_normalized,article_sentence,assets,assets_tags,award,category,company_domain,confidence,contact,division,effective_date,event,financing_type,financing_type_normalized,financing_type_tags,found_at,headcount,id,job_title,job_title_tags,location,location_data,planning,product,product_data,product_tags,recognition,summary,vulnerability
,,"The ecotourism area is the result of a collaboration between the Astra Honda Motor Foundation, Universitas Gadjah Mada (UGM), and the Klaten Regency Government through the Thematic Student Community Service (KKN) program.",,[],,partners_with,astra.co.id,0.6216,,,2026-08-09,,,,[],2026-08-12T00:55:43Z,,6b29fed0-aff7-44d5-8ac5-61ff3a549b92,,[],"Central, Louisiana, United States, Northern America, Americas","[{""city"": ""Central"", ""state"": ""Louisiana"", ""zip_code"": null, ""country"": ""United States"", ""region"": ""Northern America"", ""continent"": ""Americas"", ""fuzzy_match"": false}]",False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,Astra International partnered with Universitas Gadjah Mada on Aug 9th '26.,
Rp2.37 trillion,132600000.0,"The Astra Group subsidiary posted net profit of Rp2.37 trillion for the six months ended June 2026, compared with Rp2.27 trillion in the corresponding period a year earlier.",,[],,has_earnings,astra.co.id,0.8398,,,2025-04-01,,,,[],2026-08-03T12:49:32Z,,fc6fe3bf-d923-4f28-a2c4-1e5fe1b3505a,,[],,[],False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,Astra International had earnings of $133M on Apr 1st '25.,
IDR 12.53 trillion,697000000.0,"JAKARTA - PT Astra International Tbk (ASII), the Indonesian multi-sector holding company controlled by Jardine Cycle & Carriage Limited, reported net profit of IDR 12.53 trillion for the first half of 2026.",,[],,has_earnings,astra.co.id,0.8504,,,2026-04-01,,,,[],2026-07-31T02:10:00Z,,40f3c6df-c967-4663-b462-a75ffb0985ca,,[],"Jakarta, Indonesia, South-eastern Asia, Asia","[{""city"": ""Jakarta"", ""state"": null, ""zip_code"": null, ""country"": ""Indonesia"", ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""fuzzy_match"": false}]",False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,Astra International had earnings of $697M on Apr 1st '26.,
,,"In response, IPB University, in collaboration with Astra, has developed the One Village One CEO (OVOC) program and the Astra Prosperous Village Initiative to build an integrated business ecosystem from upstream to downstream.",,[],,partners_with,astra.co.id,0.8312,,,2026-07-24,,,,[],2026-07-25T03:12:49Z,,c0b5c8b2-39af-4c4e-a332-33974130da9b,,[],,[],False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,Institute Pertanian Bogor partnered with Astra International on Jul 24th '26.,
,,"he Public Housing and Settlements Ministry has revealed that local conglomerate Astra International will develop 1,000 low-cost apartment (rusun) units in Jakarta, utilizing land assets owned by state-run railway company PT Kereta Api Indonesia (KAI).",,[],,sells_assets_to,astra.co.id,0.0286,,,,,,,[],2026-04-06T06:00:43Z,,d0548084-996c-4e34-8e7d-429c31b53dbb,,[],,[],False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,Kareta Api Indonesia sells assets to Astra International.,
,,"he Public Housing and Settlements Ministry has revealed that local conglomerate Astra International will develop 1,000 low-cost apartment (rusun) units in Jakarta, utilizing land assets owned by state-run railway company PT Kereta Api Indonesia (KAI).","1,000 low-cost apartment (rusun) units","[""hospitality""]",,invests_into_assets,astra.co.id,0.2539,,,,,,,[],2026-04-06T06:00:43Z,,60f79916-0447-4971-8d5b-fcf325e04ec3,,"[""hospitality""]","Jakarta, Indonesia, South-eastern Asia, Asia","[{""city"": ""Jakarta"", ""state"": null, ""zip_code"": null, ""country"": ""Indonesia"", ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""fuzzy_match"": false}]",False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,"Astra International invests into assets: 1,000 low-cost apartment (rusun) units in Jakarta, Indonesia, South-eastern Asia, Asia.",
,,"BETA-UAS has won 1st place in the Startup Track category at Astranauts 2025, a national digital innovation competition organized by Astra to support technology-driven solutions that are relevant to Indonesia's industry and digital ecosystem.",,[],,attends_event,astra.co.id,0.5907,,,,Astranauts 2025,,,[],2025-07-15T17:00:00Z,,32ac79b1-6534-4606-b3ce-3ed9caebe360,,[],"Indonesia, South-eastern Asia, Asia","[{""city"": null, ""state"": null, ""zip_code"": null, ""country"": ""Indonesia"", ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""fuzzy_match"": false}]",False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,Astra International attends event Astranauts 2025.,
,,"Originally established in 1992, Daihatsu entered the Indonesian car market in collaboration with Astra Motor and quickly became the largest car manufacturer in the country by production volume.",,[],,partners_with,astra.co.id,0.7062,,,,,,,[],2024-08-08T00:00:00Z,,483f75f4-6c0e-466d-bbb7-57430af90809,,[],,[],False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,Daihatsu partners with Astra International.,
,,"Toyota Astra Motor (TAM), a 50-50 three way partnership between Toyota Motor Company and Indonesian conglomerate PT Astra Worldwide has developed an progressive buyer information platform, enhancing conversion of results in automotive gross sales and enhanced operational effectivity with cloud.",,[],,partners_with,astra.co.id,0.0288,,,,,,,[],2024-04-16T02:28:00Z,,0ce0ac3b-558c-463f-bdb1-86f1d9e82fb2,,[],,[],False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,Toyota Motor Corporation partners with Astra International.,
,,"In the past, Astra has also partnered with Bali-based young artist Yessiow to give the HI Roundabout Astra bus station a new look.",,[],,partners_with,astra.co.id,0.4968,,,,,,,[],2024-02-24T23:00:00Z,,c4929ad1-56a7-4de4-8b4e-747eec077627,,[],,[],False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,Astra International partners with Yessiow.,
